priority,alert_id,score,hostname,severity,user_count,service,rule_name,targeted_users,summary,src_ip,attempt_count,mitre_technique_id,username,mitre_technique_name
medium,ALERT-0001,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on web-sgp-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0002,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on web-sgp-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0003,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on web-sgp-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0004,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on srv-ldn-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0005,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on web-sgp-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0006,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on db-ber-01.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0007,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on web-sgp-02.,142.69.55.161,8,T1110,admin,Brute Force
medium,ALERT-0008,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 142.69.55.161 made 8 login attempts against user admin on db-ber-01.,142.69.55.161,8,T1110,admin,Brute Force
high,ALERT-0009,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-ldn-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0010,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-nyc-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0011,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0012,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0013,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-nyc-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0014,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0015,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on db-ber-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0016,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0017,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-ldn-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0018,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-nyc-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0019,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-tok-03.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0020,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0021,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-nyc-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0022,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on web-sgp-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0023,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on db-ber-01.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0024,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-ldn-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0025,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-ldn-02.,120.104.230.168,18,T1110,admin,Brute Force
high,ALERT-0026,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 120.104.230.168 made 18 login attempts against user admin on srv-tok-03.,120.104.230.168,18,T1110,admin,Brute Force
medium,ALERT-0027,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-nyc-01.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0028,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-tok-03.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0029,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on db-ber-01.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0030,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on web-sgp-02.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0031,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-nyc-01.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0032,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-nyc-01.,151.87.86.132,8,T1110,admin,Brute Force
